jour,t_min,t_max,vent,meteo,precipitation
2018/03/01,-3.9,5.6,6.4,rain,mq
2018/03/02,0.6,9.1,3.6,rain,6.2
2018/03/03,-1.4,10.9,3.9,rain,2.9
2018/03/04,2.1,10.1,5.4,rain,1.4
2018/03/05,0.6,14.4,3.3,rain,-0.1
2018/03/06,4.6,11.8,1.9,rain,0.6
2018/03/07,4.1,10.6,8.6,rain,3.5
2018/03/08,1.9,14.1,5.1,rain,mq
2018/03/09,4.1,14.9,4.1,rain,0.1
2018/03/10,10.9,17.4,6.6,rain,4.9
2018/03/11,9.9,17.3,4.8,rain,4.2
2018/03/12,8.6,12.9,10.4,rain,1.0
2018/03/13,7.9,11.4,5.0,rain,6.0
2018/03/14,1.3,13.6,5.4,rain,-0.1
2018/03/15,8.4,12.4,7.1,rain,9.9
2018/03/16,5.8,12.6,2.6,rain,2.2
2018/03/17,0.6,7.9,5.0,rain,24.6
2018/03/18,-1.8,-0.1,4.2,rain,-0.5
2018/03/19,-1.4,2.4,4.4,rain,mq
2018/03/20,-1.6,5.4,5.2,sun,0.6
2018/03/21,-0.6,7.6,4.8,sun,0.0
2018/03/22,-0.9,6.1,5.5,sun,0.9
2018/03/23,4.4,7.9,5.8,rain,0.4
2018/03/24,1.4,15.1,3.1,rain,mq
2018/03/25,2.1,14.9,3.2,rain,mq
2018/03/26,6.1,12.1,3.2,sun,-0.3
2018/03/27,6.4,10.9,8.0,rain,3.7
2018/03/28,5.1,13.3,7.0,rain,9.6
2018/03/29,2.1,11.4,4.8,rain,mq
2018/03/30,2.4,11.4,5.0,rain,-0.3
2018/03/31,0.9,12.6,7.2,rain,0.8
2018/04/01,4.4,10.3,2.6,rain,-0.2
2018/04/02,3.9,16.1,3.6,rain,-0.2
2018/04/03,9.1,16.8,7.0,rain,2.8
2018/04/04,9.9,13.9,11.6,rain,4.8
2018/04/05,3.3,10.9,2.8,sun,0.2
2018/04/06,0.9,20.9,4.1,rain,mq
2018/04/07,6.6,22.9,6.3,rain,mq
2018/04/08,8.8,22.6,0.0,rain,0.2
2018/04/09,10.9,12.6,2.9,rain,2.3
2018/04/10,8.6,15.3,5.3,rain,0.2
2018/04/11,4.9,19.6,4.7,rain,mq
2018/04/12,6.9,14.1,3.3,rain,0.5
2018/04/13,5.4,18.1,2.7,rain,mq
2018/04/14,6.4,16.6,1.7,sun,0.8
2018/04/15,7.1,18.6,2.9,rain,0.2
2018/04/16,8.9,17.4,2.8,sun,0.0
2018/04/17,2.4,22.4,1.9,sun,0.0
2018/04/18,6.6,26.6,4.7,sun,0.2
2018/04/19,8.9,28.1,2.2,sun,0.0
2018/04/20,9.6,28.3,2.2,sun,0.0
2018/04/21,10.6,27.4,1.9,sun,0.2
2018/04/22,12.6,25.1,5.0,rain,mq
2018/04/23,10.6,19.9,4.9,sun,0.8
2018/04/24,9.1,21.3,3.1,cloudy,0.2
2018/04/25,9.9,17.3,5.3,sun,2.2
2018/04/26,6.9,14.6,2.7,sun,0.0
2018/04/27,5.1,19.9,9.0,rain,0.2
2018/04/28,8.4,13.9,3.4,rain,1.4
2018/04/29,8.8,16.4,6.8,rain,9.5
2018/04/30,5.9,11.1,10.8,rain,-0.1
2018/05/01,2.9,12.4,2.1,rain,mq
2018/05/02,1.4,17.6,3.7,rain,3.7
2018/05/03,7.6,16.9,6.0,sun,0.0
2018/05/04,5.9,20.9,7.5,sun,0.0
2018/05/05,8.3,24.9,5.1,sun,0.0
2018/05/06,10.9,26.9,5.5,sun,0.0
2018/05/07,9.1,26.4,4.3,rain,mq
2018/05/08,11.6,26.3,3.7,rain,mq
2018/05/09,12.1,23.6,6.0,rain,mq
2018/05/10,6.9,16.3,4.5,sun,-0.2
2018/05/11,3.9,22.6,2.1,cloudy,0.2
2018/05/12,8.9,23.9,8.1,rain,1.5
2018/05/13,9.1,11.3,7.6,rain,18.6
2018/05/14,9.1,12.9,5.6,rain,23.0
2018/05/15,11.6,17.9,5.1,cloudy,0.4
2018/05/16,12.1,20.6,4.3,sun,5.9
2018/05/17,9.9,19.4,5.2,sun,-0.1
2018/05/18,6.6,18.6,4.8,sun,0.2
2018/05/19,6.1,19.9,4.9,sun,0.0
2018/05/20,6.6,22.6,4.7,sun,0.2
2018/05/21,9.3,24.6,1.7,rain,0.2
2018/05/22,14.6,22.6,3.5,rain,4.8
2018/05/23,12.9,22.1,2.9,sun,4.8
2018/05/24,10.4,24.3,1.1,sun,0.2
2018/05/25,11.6,26.4,4.2,cloudy,0.2
2018/05/26,14.9,27.4,3.8,sun,-0.1
2018/05/27,17.4,28.1,7.9,sun,-0.1
2018/05/28,16.4,25.8,5.0,cloudy,27.6
2018/05/29,15.8,24.6,3.1,rain,4.3
2018/05/30,12.9,25.3,2.9,rain,3.0
